Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,,,,,,,,Current target framework: net8.0-windows Recommended target framework: net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.i.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\ViewModels\MainViewModel.cs,96,12,T:System.Windows.MessageBox,,,,,"MessageBox.Show(""Pick an order first"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\ViewModels\MainViewModel.cs,96,12,T:System.Windows.MessageBoxResult,,,,,"MessageBox.Show(""Pick an order first"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\ViewModels\MainViewModel.cs,96,12,M:System.Windows.MessageBox.Show(System.String),,,,,"MessageBox.Show(""Pick an order first"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\Services\ApiClient.cs,63,8,T:System.Net.Http.HttpContent,,,,,var text = await resp.Content.ReadAsStringAsync();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\obj\Debug\net8.0-windows\App.g.i.cs,66,12,M:System.Windows.Application.Run,,,,,app.Run();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\obj\Debug\net8.0-windows\App.g.i.cs,51,12,T:System.Uri,,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\obj\Debug\net8.0-windows\App.g.i.cs,51,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\obj\Debug\net8.0-windows\App.g.i.cs,51,12,T:System.Uri,,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\desktop\OrderManagement.Desktop\OrderManagement.Desktop.csproj,File,src\desktop\OrderManagement.Desktop\obj\Debug\net8.0-windows\App.g.i.cs,51,12,P:System.Windows.Application.StartupUri,,,,,"this.StartupUri = new System.Uri(""MainWindow.xaml"", System.UriKind.Relative);"
